%in ordine crescente di diametro
%Ds[m]	v[m/s]	sigv[m/s]

0.050	& 0.002	& 0.001 \\
0.100	& 0.002	& 0.001 \\
0.150	& 0.002	& 0.001 \\
0.200	& 0.002	& 0.001 \\
0.250	& 0.002	& 0.001 \\
0.300	& 0.002	& 0.001 \\
0.350	& 0.002	& 0.001 \\
0.400	& 0.002	& 0.001 \\
0.450	& 0.002	& 0.001 \\
0.500	& 0.002	& 0.001 \\

0.050	& 0.003	& 0.001 \\
0.100	& 0.003	& 0.001 \\
0.150	& 0.003	& 0.001 \\
0.200	& 0.003	& 0.001 \\
0.250	& 0.003	& 0.001 \\
0.300	& 0.003	& 0.001 \\
0.350	& 0.003	& 0.001 \\
0.400	& 0.003	& 0.001 \\
0.450	& 0.003	& 0.001 \\
0.500	& 0.003	& 0.001 \\

0.050	& 0.004	& 0.001 \\
0.100	& 0.004	& 0.001 \\
0.150	& 0.004	& 0.001 \\
0.200	& 0.004	& 0.001 \\
0.250	& 0.004	& 0.001 \\
0.300	& 0.004	& 0.001 \\
0.350	& 0.004	& 0.001 \\
0.400	& 0.004	& 0.001 \\
0.450	& 0.004	& 0.001 \\
0.500	& 0.004	& 0.001 \\

0.050	& 0.008	& 0.001 \\
0.100	& 0.008	& 0.001 \\
0.150	& 0.008	& 0.001 \\
0.200	& 0.008	& 0.001 \\
0.250	& 0.008	& 0.001 \\
0.300	& 0.008	& 0.001 \\
0.350	& 0.008	& 0.001 \\
0.400	& 0.008	& 0.001 \\
0.450	& 0.008	& 0.001 \\
0.500	& 0.008	& 0.001 \\

0.050	& 0.021	& 0.001 \\
0.100	& 0.020	& 0.001 \\
0.150	& 0.020	& 0.001 \\
0.200	& 0.019	& 0.001 \\
0.250	& 0.019	& 0.001 \\
0.300	& 0.019	& 0.001 \\
0.350	& 0.019	& 0.001 \\
0.400	& 0.019	& 0.001 \\
0.450	& 0.019	& 0.001 \\
0.500	& 0.019	& 0.001 \\

0.050	& 0.049	& 0.001 \\
0.100	& 0.035	& 0.001 \\
0.150	& 0.032	& 0.001 \\
0.200	& 0.031	& 0.001 \\
0.250	& 0.030	& 0.001 \\
0.300	& 0.029	& 0.001 \\
0.350	& 0.029	& 0.001 \\
0.400	& 0.029	& 0.001 \\
0.450	& 0.029	& 0.001 \\
0.500	& 0.028	& 0.001 \\

0.050	& 0.725	& 0.011 \\
0.100	& 0.073	& 0.001 \\
0.150	& 0.056	& 0.001 \\
0.200	& 0.050	& 0.001 \\
0.250	& 0.048	& 0.001 \\
0.300	& 0.046	& 0.001 \\
0.350	& 0.045	& 0.001 \\
0.400	& 0.044	& 0.001 \\
0.450	& 0.043	& 0.001 \\
0.500	& 0.042	& 0.001 \\

0.050	& 0.576	& 0.007 \\
0.100	& 0.178	& 0.001 \\
0.150	& 0.118	& 0.001 \\
0.200	& 0.090	& 0.001 \\
0.250	& 0.082	& 0.001 \\
0.300	& 0.077	& 0.001 \\
0.350	& 0.073	& 0.001 \\
0.400	& 0.072	& 0.001 \\
0.450	& 0.070	& 0.001 \\
0.500	& 0.068	& 0.001 \\
